Genome length,Divisions,Fitness
1000000,6,0.995833777
1000000,8,0.992663032
1000000,10,0.983939671
1000000,12,0.987170507
1000000,14,0.979018878
1000000,16,0.977840343
1000000,18,0.979421939
1000000,20,0.954878709
1000000,22,0.944056739
1000000,24,0.94427743
1000000,26,0.938236455
1000000,28,0.922558269
1000000,30,0.883421652
1000000,32,0.849886792
1000000,34,0.887078932
1000000,36,0.862948535
1000000,38,0.85901902
1000000,40,0.819627275
1000000,42,0.79491302
1000000,44,0.798383586
1000000,46,0.772747305
1000000,48,0.734972265
1000000,50,0.758261803
1000000,52,0.778538243
1000000,54,0.764338319
1000000,56,0.701903886
1000000,58,0.697578581
1000000,60,0.710644746
1000000,62,0.666157921
1000000,64,0.669669234
1000000,66,0.657969895
1000000,68,0.644124077
1000000,70,0.639001122
1000000,72,0.600623743
1000000,74,0.582798061
1000000,76,0.636561281
1000000,78,0.573221897
1000000,80,0.581497838
1000000,82,0.571307044
1000000,84,0.550215851
1000000,86,0.559830278
1000000,88,0.516944648
1000000,90,0.534876755
1000000,92,0.546634359
1000000,94,0.526721349
1000000,96,0.527028791
1000000,98,0.514607403
1000000,100,0.501364769
1000000,102,0.515577601
1000000,104,0.491384862
1000000,106,0.497986311
1000000,108,0.490450272
1000000,110,0.472442015
1000000,112,0.468076655
1000000,114,0.468157647
1000000,116,0.458454151
1000000,118,0.44388301
1000000,120,0.436991575
1000000,122,0.441865342
1000000,124,0.428917094
1000000,126,0.428180046
1000000,128,0.411285675
1000000,130,0.431110222
1000000,132,0.395732695
1000000,134,0.393101199
1000000,136,0.373007416
1000000,138,0.370568392
1000000,140,0.362341603
1000000,142,0.352907358
1000000,144,0.344031081
1000000,146,0.374909021
1000000,148,0.340513889
1000000,150,0.346351872
1000000,152,0.335840044
1000000,154,0.33291844
1000000,156,0.332529266
1000000,158,0.312227381
1000000,160,0.318931293
1000000,162,0.314870638
1000000,164,0.323326636
1000000,166,0.289319221
1000000,168,0.290749301
1000000,170,0.288900722
1000000,172,0.30337186
1000000,174,0.290185094
1000000,176,0.286874123
1000000,178,0.282418561
1000000,180,0.293987561
1000000,182,0.273473337
1000000,184,0.281298987
1000000,186,0.258867181
1000000,188,0.272286481
1000000,190,0.265777037
1000000,192,0.276925916
1000000,194,0.261236868
1000000,196,0.269481415
1000000,198,0.246646645
1000000,200,0.246610033
1000000,202,0.241786686
1000000,204,0.249705354
1000000,206,0.242531232
1000000,208,0.245187919
1000000,210,0.239870601
1000000,212,0.230595439
1000000,214,0.233795435
1000000,216,0.230047402
1000000,218,0.237280972
1000000,220,0.230861839
1000000,222,0.228718131
1000000,224,0.225176928
1000000,226,0.228526843
1000000,228,0.232698489
1000000,230,0.23378679
1000000,232,0.220923415
1000000,234,0.22622205
1000000,236,0.220657179
1000000,238,0.231917878
1000000,240,0.221565946
1000000,242,0.228170112
1000000,244,0.226127019
1000000,246,0.216114653
1000000,248,0.222877988
1000000,250,0.221618924
1000000,252,0.220814145
1000000,254,0.226212841
1000000,256,0.210279542
1000000,258,0.206886947
1000000,260,0.219817334
1000000,262,0.208814808
